mz__rtMin,putative_mw,mz,rtMin,ion,lcms_run
418.77403__0.526,419.7813,418.77403,0.526,[M-H]-1,high-bps-wk07-wk22
267.23317__2.259,268.24063,267.23317,2.259,[M-H]-1,high-bps-wk07-wk22
459.27287__1.838,460.28015,459.27287,1.838,[M-H]-1,high-bps-wk07-wk22
359.18956__1.528,360.19683,359.18956,1.528,[M-H]-1,high-bps-wk07-wk22
386.76291__0.501,193.88484,386.76291,0.501,[2M-H]-1,high-bps-wk07-wk22
249.02263__4.818,250.02991,249.02263,4.818,[M-H]-1,high-bps-wk07-wk22
462.73469__0.522,463.742,462.73469,0.522,[M-H]-1,high-bps-wk07-wk22
322.1168__1.417,323.12407,322.1168,1.417,[M-H]-1,high-bps-wk07-wk22
323.12514__1.407,648.26484,323.12514,1.407,[M-2H]-2,high-bps-wk07-wk22
322.11666__1.405,646.24788,322.11666,1.405,[M-2H]-2,high-bps-wk07-wk22
322.61874__1.41,647.25204,322.61874,1.41,[M-2H]-2,high-bps-wk07-wk22
323.1252__1.412,324.13248,323.1252,1.412,[M-H]-1,high-bps-wk07-wk22
279.1634__1.67,280.17068,279.1634,1.67,[M-H]-1,high-bps-wk07-wk22
232.8896__1.392,233.89687,232.8896,1.392,[M-H]-1,high-bps-wk07-wk22
441.2529__1.713,442.26018,441.2529,1.713,[M-H]-1,high-bps-wk07-wk22
316.11669__1.412,634.24793,316.11669,1.412,[M-2H]-2,high-bps-wk07-wk22
315.61054__1.427,633.23564,315.61054,1.427,[M-2H]-2,high-bps-wk07-wk22
316.11628__1.439,317.12356,316.11628,1.439,[M-H]-1,high-bps-wk07-wk22
314.10754__1.382,315.11482,314.10754,1.382,[M-H]-1,high-bps-wk07-wk22
138.88272__0.476,157.90069,138.88272,0.476,[M-H-H2O]-1,high-bps-wk07-wk22
231.93129__4.876,232.93857,231.93129,4.876,[M-H]-1,high-bps-wk07-wk22
141.99309__0.528,143.00054,141.99309,0.528,[M-H]-1,high-bps-wk07-wk22
141.99309__0.64,143.00045,141.99309,0.64,[M-H]-1,high-bps-wk07-wk22
267.011__0.476,268.01832,267.011,0.476,[M-H]-1,high-bps-wk07-wk22
160.84112__4.148,161.8484,160.84112,4.148,[M-H]-1,high-bps-wk07-wk22
540.75106__0.535,541.75843,540.75106,0.535,[M-H]-1,high-bps-wk07-wk22
92.9266__1.642,93.93388,92.9266,1.642,[M-H]-1,high-bps-wk07-wk22
238.86205__0.516,239.86957,238.86205,0.516,[M-H]-1,high-bps-wk07-wk22
327.05092__1.519,328.0582,327.05092,1.519,[M-H]-1,high-bps-wk07-wk22
193.08628__1.384,194.09403,193.08628,1.384,[M-H]-1,high-bps-wk07-wk22
361.1638__1.528,362.17108,361.1638,1.528,[M-H]-1,high-bps-wk07-wk22
491.35966__3.787,492.36693,491.35966,3.787,[M-H]-1,high-bps-wk07-wk22
256.19992__1.981,257.2072,256.19992,1.981,[M-H]-1,high-bps-wk07-wk22
420.77151__0.531,421.77955,420.77151,0.531,[M-H]-1,high-bps-wk07-wk22
