dataset	culture_day	pathwayID	log2FC_exp	FDR_age	slope	direction	rep_features	pathway
DINP_high_wk22	d7	map00562	1.8833852358608172	1.6360534115572282e-5	0.17738972973595493	increasing_with_age	21	Inositol phosphate metabolism
DINP_high_wk22	d7	map00566	2.0405587008207324	1.0123662540000768e-4	-0.16269717389861163	decreasing_with_age	17	Sulfoquinovose metabolism
DINP_high_wk22	d7	map00590	1.918227489848458	0.00461407957991129	0.01123583398101956	increasing_with_age	56	Arachidonic acid metabolism
DINP_high_wk22	d7	map00620	2.060230668448849	0.03514216479796812	0.03831053225316111	increasing_with_age	11	Pyruvate metabolism
DINP_high_wk22	d7	map00630	1.2595493587532671	0.00228569163619056	0.07448885011998214	increasing_with_age	28	Glyoxylate and dicarboxylate metabolism
DINP_high_wk22	d7	map00680	2.6886221882354886	0.00336973808873389	0.01007240371316882	increasing_with_age	49	Methane metabolism
DINP_high_wk22	d7	map00720	1.725803189393375	0.00336973808873389	0.09271226009443104	increasing_with_age	14	Other carbon fixation pathways
DINP_high_wk22	d7	map00730	2.45500782260531	0.01096870080198388	0.0296777892498298	increasing_with_age	13	Thiamine metabolism
DINP_high_wk22	d7	map00750	1.4625334620765738	0.04196144872389404	0.05694763774649822	increasing_with_age	13	Vitamin B6 metabolism
DINP_high_wk22	d7	map00791	2.134127826338066	7.167285982591185e-5	-0.1854567314324617	decreasing_with_age	3	Atrazine degradation
DINP_high_wk22	d2	map00901	1.1350843048552095	0.00147040475526459	0.03768938810087746	increasing_with_age	19	Indole alkaloid biosynthesis
DINP_high_wk22	d7	map00901	2.2749337305191646	0.00147040475526459	0.03768938810087746	increasing_with_age	19	Indole alkaloid biosynthesis
DINP_high_wk22	d7	map00904	2.353473480217708	0.01600750272921965	0.06098853933827015	increasing_with_age	41	Diterpenoid biosynthesis
DINP_high_wk22	d7	map00906	2.2232591420827847	7.167285982591185e-5	0.18064026344163547	increasing_with_age	20	Carotenoid biosynthesis
DINP_high_wk22	d7	map00920	3.321686104761015	1.316515283820036e-4	0.1323001992138262	increasing_with_age	27	Sulfur metabolism
DINP_high_wk22	d7	map00930	2.918176787674648	0.00148399811203875	0.19215222255512537	increasing_with_age	9	Caprolactam degradation
DINP_high_wk22	d7	map00946	2.894051087757674	0.04338864493941959	0.07046680702787113	increasing_with_age	42	Degradation of flavonoids
DINP_high_wk22	d7	map00970	1.725803189393375	0.00336973808873389	0.09271226009443104	increasing_with_age	13	Aminoacyl-tRNA biosynthesis
DINP_high_wk22	d7	map00980	1.765249636257297	0.01148938000454916	0.03179283585284309	increasing_with_age	35	Metabolism of xenobiotics by cytochrome P450
DINP_high_wk22	d7	map00996	0.971856868406978	0.01620731134852096	-0.00985940054396934	decreasing_with_age	18	Biosynthesis of various alkaloids
DINP_high_wk22	d7	map00998	0.9354134145881732	0.00249289213129633	-0.0059666250970028	decreasing_with_age	43	Biosynthesis of various antibiotics
DINP_high_wk22	d7	map01040	-0.8978740971587291	3.770281549521227e-4	0.07499334864487835	increasing_with_age	22	Biosynthesis of unsaturated fatty acids
DINP_high_wk22	d7	map01051	1.786629789513212	5.869970447784424e-4	0.00661412509348963	increasing_with_age	16	Biosynthesis of ansamycins
DINP_high_wk22	d7	map01054	1.9953613352899648	0.01096870080198388	0.14527377319058116	increasing_with_age	5	Nonribosomal peptide structures
DINP_high_wk22	d7	map01063	1.9521867321827384	0.04196144872389404	0.04074882950446706	increasing_with_age	48	Biosynthesis of alkaloids derived from shikimate pathway
