lcms_run,pathway,p_age,FDR_age,slope,direction
high-dinp-wk07-wk22,map07216,0.0014038236491733225,0.010968700801983885,0.14527377319058116,increasing_with_age
high-dinp-wk07-wk22,map05204,0.0063886279750261865,0.03514216479796812,0.03128669983522499,increasing_with_age
high-dinp-wk07-wk22,map05208,0.007447926780141979,0.03822689392539958,0.031229934481218323,increasing_with_age
high-dinp-wk07-wk22,map04713,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map04927,1.0840622424424935e-4,0.001470404755244453,0.10635435308053856,increasing_with_age
high-dinp-wk07-wk22,map04934,1.0840622424424935e-4,0.001470404755244453,0.10635435308053856,increasing_with_age
high-dinp-wk07-wk22,map00946,0.010778067650670664,0.04338864493941959,0.07046680702787156,increasing_with_age
high-dinp-wk07-wk22,map00904,0.002441822450219972,0.016007502729219816,0.060988539338270156,increasing_with_age
high-dinp-wk07-wk22,map04961,0.0037353840617938556,0.022488536698554846,-0.06718631748105273,decreasing_with_age
high-dinp-wk07-wk22,map04915,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map01212,7.15764123095911e-6,1.759586802610781e-4,0.07146908900187682,increasing_with_age
high-dinp-wk07-wk22,map04216,6.334771795081557e-5,0.0010992692232641523,0.09058652676916451,increasing_with_age
high-dinp-wk07-wk22,map00052,0.005761205983031178,0.03332462284302348,0.027299044073777444,increasing_with_age
high-dinp-wk07-wk22,map04540,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map00630,1.9370268103309867e-4,0.0022856916361905645,0.07448885011998214,increasing_with_age
high-dinp-wk07-wk22,map04929,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map00901,1.1430696242515253e-4,0.001470404755244453,0.03768938810087746,increasing_with_age
high-dinp-wk07-wk22,map00562,2.2183775071962415e-7,1.6360534115572282e-5,0.17738972973595493,increasing_with_age
high-dinp-wk07-wk22,map00540,1.5600850223734896e-6,7.167285982591185e-5,0.1374290156916077,increasing_with_age
high-dinp-wk07-wk22,map04730,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map01100,3.6818061277630264e-4,0.00339416502403154,0.043130035609562044,increasing_with_age
high-dinp-wk07-wk22,map00980,0.0015189349836522625,0.011489380004549165,0.03179283585284309,increasing_with_age
high-dinp-wk07-wk22,map00680,3.3095338005292326e-4,0.0033697380887338932,0.010072403713168821,increasing_with_age
high-dinp-wk07-wk22,map01120,8.654547648157393e-5,0.0013898478757114936,0.05756911711342439,increasing_with_age
high-dinp-wk07-wk22,map00902,0.008309175778637877,0.041545878893189385,0.02260294270393089,increasing_with_age
high-dinp-wk07-wk22,map00074,0.0012468639584385253,0.010509281935410428,0.040541587422435146,increasing_with_age
high-dinp-wk07-wk22,map04080,0.012478541695240406,0.04843644473810421,0.03904117348224986,increasing_with_age
